household_key,BASKET_ID,DAY,PRODUCT_ID,QUANTITY,SALES_VALUE,STORE_ID,RETAIL_DISC,TRANS_TIME,WEEK_NO,COUPON_DISC,COUPON_MATCH_DISC
1228,29046618323,157,20000,1,3.49,3313,0,2213,23,0,0
358,30707611686,247,20000,1,3.49,3266,0,1211,36,0,0
1675,30760265177,250,20000,1,0.99,3235,0,936,36,0,0
1420,30591251330,238,20000,1,1.54,3297,0,1342,35,0,0
486,30636771192,242,20000,2,1.98,3217,-0.52,1411,35,0,0
1675,28802746690,142,20000,1,2.29,3235,0,1713,21,0,0
1409,28517258574,121,20000,2,1.82,3313,0,909,18,0,0
1409,30192611948,224,20000,1,0.97,3313,0,1635,33,0,0
997,29224467440,168,20000,1,7.59,3182,0,1953,25,0,0
1988,27855602541,73,20000,2,5.58,3214,-0.92,1539,11,0,0
203,28273880965,107,20000,1,2.79,3274,-0.46,1517,16,0,0
997,27831937999,71,20000,1,2.75,3182,0,1907,11,0,0
2182,30754188706,245,20000,2,3.6,3262,0,2121,36,0,0
1182,27556417706,47,20000,2,4.3,3287,0,1749,7,0,0
1420,30591251330,238,20000,1,1.98,3297,-0.97,1342,35,0,0
2182,29776317638,198,20000,1,2.75,3262,0,1929,29,0,0
2182,29872791599,205,20000,1,2.75,3262,0,1540,30,0,0
2182,30178790946,223,20000,1,2.75,3262,0,1245,33,0,0
2182,30754188706,245,20000,1,2.34,3262,-0.51,2121,36,0,0
2182,30945992558,264,20000,1,2.85,3262,0,2152,38,0,0
1420,30591251330,238,20000,5,1.35,3297,0,1342,35,0,0
1032,30753603617,245,20000,1,0.27,3087,0,2125,36,0,0
32,28273822100,107,20000,1,2.69,3036,-0.2,1751,16,0,0
997,31228403163,286,20000,1,4.29,3182,0,2103,42,0,0
997,31556442723,308,20000,1,3.79,3182,-0.5,2034,45,0,0
1957,28924865555,149,20000,1,0.88,3313,-0.11,1038,22,0,0
997,28924940887,150,20000,1,0.88,3210,-0.11,1106,22,0,0
997,30590003347,236,20000,1,0.88,3182,-0.11,2019,34,0,0
2182,30590802826,237,20000,1,0.88,3262,-0.11,2112,35,0,0
997,31228403163,286,20000,1,0.88,3182,-0.11,2103,42,0,0
997,31556442723,308,20000,1,0.88,3182,-0.11,2034,45,0,0
1113,30733637259,248,20000,1,4.99,3270,-1,1630,36,0,0
1814,30755292776,246,20000,2,1.58,3274,-0.6,1937,36,0,0
997,29302845385,174,20000,1,0.88,3182,-0.11,1024,26,0,0
1182,28420456264,118,20000,1,0.69,3287,0,1334,18,0,0
1675,31272000346,289,20000,2,1.18,3235,-0.2,1027,42,0,0
32,27819482409,70,20000,1,2.99,3257,-0.5,2009,11,0,0
1338,27639966001,54,20000,1,0.99,3165,0,1809,8,0,0
997,27788516169,68,20000,1,0.99,3182,0,1306,10,0,0
364,27955721015,81,20000,1,0.79,3313,-0.2,1259,12,0,0
1894,28201395124,101,20000,1,0.99,3234,0,2330,15,0,0
601,28297071931,109,20000,1,0.79,3102,-0.2,1605,16,0,0
121,28420685198,119,20000,1,0.79,3177,-0.2,1015,18,0,0
997,28641796466,131,20000,1,0.99,3182,0,1434,19,0,0
997,28800976041,140,20000,1,0.99,3182,0,1359,21,0,0
997,29197667908,167,20000,1,0.88,3182,-0.11,1842,25,0,0
20,29531076594,187,20000,1,0.79,3251,-0.2,1442,27,0,0
284,29531116865,188,20000,2,1.58,3262,-0.4,1705,28,0,0
997,29605285324,191,20000,1,0.79,3182,-0.2,928,28,0,0
840,30410207512,239,20000,1,0.99,3027,0,1850,35,0,0
997,30734102880,248,20000,1,0.99,3182,0,2134,36,0,0
1182,30795606757,252,20000,1,0.88,3267,-0.11,1653,37,0,0
997,30809507676,254,20000,1,0.88,3182,-0.11,1957,37,0,0
997,31363387658,294,20000,1,0.79,3182,-0.2,2037,43,0,0
997,31726100030,316,20000,1,0.88,3182,-0.12,2239,46,0,0
997,31821525458,324,20000,1,0.88,3182,-0.12,1102,47,0,0
997,28800976041,140,20000,1,2.75,3182,0,1359,21,0,0
997,29776325834,198,20000,1,2.75,3182,0,1305,29,0,0
997,30734102880,248,20000,1,2.34,3182,-0.51,2134,36,0,0
1420,30591251330,238,20000,2,1.98,3297,0,1342,35,0,0
840,30410207512,239,20000,1,0.89,3027,-0.1,1850,35,0,0
601,28297071931,109,20000,1,2.99,3102,0,1605,16,0,0
1814,30755292776,246,20000,1,5.65,3274,0,1937,36,0,0
1409,31737620069,317,20000,1,5.65,3313,0,631,46,0,0
1675,27820100290,70,20000,1,1.34,3235,-0.31,1045,11,0,0
1675,28701110908,135,20000,3,4,3235,-0.95,1341,20,0,0
1675,30589387198,235,20000,3,4,3235,-0.77,1807,34,0,0
